City code,Date,Average,Minimum,Maximum
  270,20161101,   97,   59,  136
  270,20161102,   80,   47,  112
  270,20161103,   77,   32,  110
  270,20161104,   80,   72,   97
  270,20161105,   65,   35,  100
  270,20161106,   68,   24,  110
  270,20161107,   41,    5,   62
  270,20161108,   15,  -17,   33
  270,20161109,   25,   11,   41
  270,20161110,   19,    6,   33
  270,20161111,   19,  -25,   67
  270,20161112,   14,  -13,   39
  270,20161113,   23,    6,   35
  270,20161114,   33,   -4,   70
  270,20161115,   99,   66,  125
  270,20161116,  101,   71,  128
  270,20161117,   73,   35,   97
  270,20161118,   59,   38,   86
  270,20161119,   46,   25,   71
  270,20161120,   70,   41,  100
  270,20161121,  108,   67,  130
  270,20161122,  100,   60,  118
  270,20161123,   76,   29,   93
  270,20161124,   59,   26,   88
  270,20161125,   36,    2,   75
  270,20161126,   33,  -32,   87
  270,20161127,   58,  -17,  101
  270,20161128,   -8,  -56,   46
  270,20161129,  -19,  -68,   30
  270,20161130,   55,  -13,   84
  380,20161101,   98,   52,  149
  380,20161102,   73,   49,  105
  380,20161103,   65,   44,  104
  380,20161104,   71,   46,  103
  380,20161105,   73,   57,  106
  380,20161106,   54,   37,   78
  380,20161107,   43,   26,   55
  380,20161108,   30,    7,   65
  380,20161109,   36,   19,   57
  380,20161110,   60,   28,   79
  380,20161111,   31,    3,   54
  380,20161112,   34,   -7,   63
  380,20161113,   41,   32,   58
  380,20161114,   28,  -11,   51
  380,20161115,   75,   45,  102
  380,20161116,  113,  100,  123
  380,20161117,  105,   86,  121
  380,20161118,   72,   37,  119
  380,20161119,   60,   47,   80
  380,20161120,  104,   54,  140
  380,20161121,  131,  117,  144
  380,20161122,  108,   78,  128
  380,20161123,   97,   85,  127
  380,20161124,   80,   45,  107
  380,20161125,   42,   12,   79
  380,20161126,   46,   12,   69
  380,20161127,   43,    0,   75
  380,20161128,    4,  -22,   32
  380,20161129,  -17,  -53,   25
  380,20161130,    0,  -57,   41
