Country Name,Country Code,Population,0-14,15-64,65+,Female
Afghanistan,AFG,32526562,44.04194947,53.48896081,2.469089724,48.43075023
Albania,ALB,2889167,18.54620412,69.05746201,12.39633387,50.39767955
Algeria,DZA,39666519,28.53871044,65.52325149,5.938038072,49.6865253
American Samoa,ASM,55538,..,..,..,..
Andorra,ADO,70473,..,..,..,..
Angola,AGO,25021974,47.65044117,50.03608828,2.313470552,50.37884701
Antigua and Barbuda,ATG,91818,24.1782657,68.6575617,7.164172602,52.20000436
Argentina,ARG,43416755,25.19419749,63.87924892,10.92655359,51.06796443
Armenia,ARM,3017712,18.38389482,70.79012179,10.82598339,53.62344054
Aruba,ABW,103889,18.33687878,69.46741233,12.19570888,52.47331286
Australia,AUS,23781169,18.6980894,66.25703571,15.04487489,50.03567737
Austria,AUT,8611088,14.20763979,67.03323016,18.75913005,50.88912441
Azerbaijan,AZE,9651349,21.91854638,72.45536381,5.626089813,50.21978748
"Bahamas, The",BHS,388019,20.92114046,70.79833719,8.280522346,51.04440762
Bahrain,BHR,1377237,21.47495311,76.11420547,2.410841417,38.0203262
Bangladesh,BGD,160995642,29.44697472,65.57946892,4.973556365,49.51604653
Barbados,BRB,284215,19.36597294,66.47010186,14.1639252,52.08697641
Belarus,BLR,9513000,16.06820723,69.95087105,13.98092172,53.52137876
Belgium,BEL,11285721,16.94444169,64.83074188,18.22481643,50.80089798
Belize,BLZ,359287,32.4542775,63.78327076,3.762451745,50.15015851
Benin,BEN,10879829,42.15840157,54.95043167,2.891166764,50.12836139
Bermuda,BMU,65235,..,..,..,..
Bhutan,BTN,774830,26.86524786,68.07196417,5.062787966,46.27415046
Bolivia,BOL,10724705,32.44523742,61.089326,6.465436578,49.92202583
Bosnia and Herzegovina,BIH,3810416,13.49808,71.05796323,15.44395678,50.22981743
Botswana,BWA,2262485,31.9980906,64.4038303,3.598079103,50.03684002
Brazil,BRA,207847528,23.02764602,69.12767902,7.844674968,50.82898556
British Virgin Islands,VGB,30117,..,..,..,..
Brunei Darussalam,BRN,423188,23.10816942,72.47228182,4.419548758,48.47987183
Bulgaria,BGR,7177991,14.14401576,65.8285065,20.02747774,51.41944788
Burkina Faso,BFA,18105570,45.57206429,52.03462802,2.393307695,50.37894416
Burundi,BDI,11178921,44.80131848,52.72740544,2.471276074,50.58349549
Cabo Verde,CPV,520502,29.65060653,65.76862337,4.580770103,50.65782648
Cambodia,KHM,15577899,31.60227833,64.27977868,4.117942991,51.22478327
Cameroon,CMR,23344179,42.52268628,54.27173087,3.205582856,49.99916682
Canada,CAN,35851774,15.97205804,67.8921635,16.13577846,50.39982135
Cayman Islands,CYM,59967,..,..,..,..
Central African Republic,CAF,4900274,39.05261216,57.09192996,3.855457878,50.7085114
Chad,TCD,14037472,47.72033739,49.82892219,2.450740418,49.93706132
Channel Islands,CHI,163692,14.70872126,68.02287222,17.26840652,50.44046135
Chile,CHL,17948141,20.14693332,68.85005528,11.0030114,50.66302967
China,CHN,1371220000,17.23160046,73.21719297,9.551206566,48.4773329
Colombia,COL,48228704,24.28677329,68.67422148,7.039005236,50.768872
Comoros,COM,788474,40.27374397,56.93275872,2.793497313,49.56079719
"Congo, Dem. Rep.",COD,77266814,45.9929356,51.0431283,2.963936108,50.1297737
"Congo, Rep.",COG,4620330,42.63072118,53.70843641,3.660842407,49.97933048
Costa Rica,CRI,4807850,22.30866188,68.79029088,8.901047246,49.96630511
Cote d'Ivoire,CIV,22701556,42.47431762,54.49876652,3.026915864,49.13937177
Croatia,HRV,4224404,14.89065558,66.17226967,18.93707475,51.76657783
Cuba,CUB,11389562,16.3053329,69.72182073,13.97284637,49.76152727
Curacao,CUW,158040,18.97610096,66.18257921,14.84131982,53.87301769
Cyprus,CYP,1165300,16.55101691,70.60353557,12.84544752,48.983781
Czech Republic,CZE,10551219,15.04189531,66.88211704,18.07598766,50.86810571
Denmark,DNK,5676002,16.8810077,64.15955249,18.95943981,50.36357745
Djibouti,DJI,887861,32.73541692,63.07800433,4.186578755,49.78470729
Dominica,DMA,72680,..,..,..,..
Dominican Republic,DOM,10528391,29.95884176,63.38849877,6.652659461,50.17187337
Ecuador,ECU,16144363,29.01927441,64.27653417,6.704191426,50.00692192
"Egypt, Arab Rep.",EGY,91508084,33.16028013,61.61945867,5.220261196,49.4684863
El Salvador,SLV,6126583,27.02860632,64.79959547,8.171798211,53.06941896
Equatorial Guinea,GNQ,845060,39.26088088,57.85317019,2.885948927,48.74849123
Eritrea,ERI,..,..,..,..,..
Estonia,EST,1311998,16.0878224,65.15247326,18.75970433,53.1968873
Ethiopia,ETH,99390750,41.44022759,55.07588181,3.483890604,50.08830198
Faroe Islands,FRO,48199,..,..,..,..
Fiji,FJI,892145,28.74465474,65.42434246,5.831002808,49.15322061
Finland,FIN,5482013,16.33833062,63.18448568,20.4771837,50.77568517
France,FRA,66808385,18.48353324,62.39595579,19.12051096,51.32931891
French Polynesia,PYF,282764,22.14107878,70.30880876,7.550112461,48.96945863
Gabon,GAB,1725292,37.12693272,57.76813432,5.104932962,49.43279167
"Gambia, The",GMB,1990924,46.18428428,51.50186547,2.313850252,50.49881362
Georgia,GEO,3679000,17.32746439,68.6468764,14.02565921,52.29398282
Germany,DEU,81413145,12.88582413,65.87352393,21.24065194,50.85705908
Ghana,GHA,27409893,38.81713803,57.78872249,3.394139481,50.25370584
Gibraltar,GIB,32217,..,..,..,..
Greece,GRC,10823732,14.60232704,64.00111478,21.39655818,51.20624482
Greenland,GRL,56114,..,..,..,..
Grenada,GRD,106825,26.48350105,66.35712614,7.159372806,49.83945706
Guam,GUM,169885,25.4666392,65.79862848,8.734732319,49.28745916
Guatemala,GTM,16342897,36.62282152,58.53064484,4.846533635,51.09026264
Guinea,GIN,12608590,42.53199604,54.40458449,3.063419462,49.85770019
Guinea-Bissau,GNB,1844325,40.79291882,56.03865913,3.168422051,50.36124327
Guyana,GUY,767085,28.80697706,66.18653735,5.006485592,49.74494352
Haiti,HTI,10711067,33.74137236,61.62777247,4.630855171,50.54253699
Honduras,HND,8075060,31.76279805,63.3839377,4.853264248,50.01941781
"Hong Kong SAR, China",HKG,7305700,11.96067554,72.97880634,15.06051812,53.05091958
Hungary,HUN,9844686,14.55870778,67.62339367,17.81789855,52.40127801
Iceland,ISL,330823,20.31964787,65.9664567,13.71389542,49.90665554
India,IND,1311050527,28.78812732,65.5957625,5.616110171,48.1676416
Indonesia,IDN,257563815,27.69238722,67.13388369,5.173729081,49.64825358
"Iran, Islamic Rep.",IRN,79109272,23.60947147,71.32941383,5.061114707,49.64534372
Iraq,IRQ,36423395,40.98275847,55.96100528,3.056236246,49.3814978
Ireland,IRL,4640703,21.78056144,65.07993554,13.13950301,50.08820584
Isle of Man,IMY,87780,..,..,..,..
Israel,ISR,8380400,27.83345709,60.92753058,11.23901233,50.41412266
Italy,ITA,60802085,13.71038193,63.87974217,22.4098759,51.38656287
Jamaica,JAM,2725941,23.57833915,67.28276415,9.138896695,50.20149749
Japan,JPN,126958472,12.85549617,60.80249069,26.34201314,51.36534327
Jordan,JOR,7594547,35.5254237,60.6886757,3.785900594,48.79202143
Kazakhstan,KAZ,17544126,26.71739925,66.546863,6.735737743,51.70524906
Kenya,KEN,46050302,41.90906283,55.288493,2.802444162,50.01783702
Kiribati,KIR,112423,34.94658566,61.34954591,3.703868426,50.70047944
"Korea, Dem. People’s Rep.",PRK,25155317,21.16742556,69.29313592,9.539438521,51.10470681
"Korea, Rep.",KOR,50617045,13.99269992,72.88038108,13.126919,50.3016129
Kosovo,KSV,1797151,25.73770492,67.59562842,6.775956284,48.46994536
