Series Name,Series Code,Country Name,Country Code,Population
"Population, total",SP.POP.TOTL,Afghanistan,AFG,32526562
"Population, total",SP.POP.TOTL,Albania,ALB,2889167
"Population, total",SP.POP.TOTL,Algeria,DZA,39666519
"Population, total",SP.POP.TOTL,American Samoa,ASM,55538
"Population, total",SP.POP.TOTL,Andorra,ADO,70473
"Population, total",SP.POP.TOTL,Angola,AGO,25021974
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,91818
"Population, total",SP.POP.TOTL,Argentina,ARG,43416755
"Population, total",SP.POP.TOTL,Armenia,ARM,3017712
"Population, total",SP.POP.TOTL,Aruba,ABW,103889
"Population, total",SP.POP.TOTL,Australia,AUS,23781169
"Population, total",SP.POP.TOTL,Austria,AUT,8611088
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9651349
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,388019
"Population, total",SP.POP.TOTL,Bahrain,BHR,1377237
"Population, total",SP.POP.TOTL,Bangladesh,BGD,160995642
"Population, total",SP.POP.TOTL,Barbados,BRB,284215
"Population, total",SP.POP.TOTL,Belarus,BLR,9513000
"Population, total",SP.POP.TOTL,Belgium,BEL,11285721
"Population, total",SP.POP.TOTL,Belize,BLZ,359287
"Population, total",SP.POP.TOTL,Benin,BEN,10879829
"Population, total",SP.POP.TOTL,Bermuda,BMU,65235
"Population, total",SP.POP.TOTL,Bhutan,BTN,774830
"Population, total",SP.POP.TOTL,Bolivia,BOL,10724705
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3810416
"Population, total",SP.POP.TOTL,Botswana,BWA,2262485
"Population, total",SP.POP.TOTL,Brazil,BRA,207847528
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30117
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,423188
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18105570
"Population, total",SP.POP.TOTL,Burundi,BDI,11178921
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,520502
"Population, total",SP.POP.TOTL,Cambodia,KHM,15577899
"Population, total",SP.POP.TOTL,Cameroon,CMR,23344179
"Population, total",SP.POP.TOTL,Canada,CAN,35851774
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,59967
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4900274
"Population, total",SP.POP.TOTL,Chad,TCD,14037472
"Population, total",SP.POP.TOTL,Channel Islands,CHI,163692
"Population, total",SP.POP.TOTL,Chile,CHL,17948141
"Population, total",SP.POP.TOTL,China,CHN,1371220000
"Population, total",SP.POP.TOTL,Colombia,COL,48228704
"Population, total",SP.POP.TOTL,Comoros,COM,788474
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,77266814
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4620330
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4807850
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22701556
"Population, total",SP.POP.TOTL,Croatia,HRV,4224404
"Population, total",SP.POP.TOTL,Cuba,CUB,11389562
"Population, total",SP.POP.TOTL,Curacao,CUW,158040
"Population, total",SP.POP.TOTL,Cyprus,CYP,1165300
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10551219
"Population, total",SP.POP.TOTL,Denmark,DNK,5676002
"Population, total",SP.POP.TOTL,Djibouti,DJI,887861
"Population, total",SP.POP.TOTL,Dominica,DMA,72680
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10528391
"Population, total",SP.POP.TOTL,Ecuador,ECU,16144363
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,91508084
"Population, total",SP.POP.TOTL,El Salvador,SLV,6126583
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,845060
"Population, total",SP.POP.TOTL,Estonia,EST,1311998
"Population, total",SP.POP.TOTL,Ethiopia,ETH,99390750
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48199
"Population, total",SP.POP.TOTL,Fiji,FJI,892145
"Population, total",SP.POP.TOTL,Finland,FIN,5482013
"Population, total",SP.POP.TOTL,France,FRA,66808385
"Population, total",SP.POP.TOTL,French Polynesia,PYF,282764
"Population, total",SP.POP.TOTL,Gabon,GAB,1725292
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1990924
"Population, total",SP.POP.TOTL,Georgia,GEO,3679000
"Population, total",SP.POP.TOTL,Germany,DEU,81413145
"Population, total",SP.POP.TOTL,Ghana,GHA,27409893
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32217
"Population, total",SP.POP.TOTL,Greece,GRC,10823732
"Population, total",SP.POP.TOTL,Greenland,GRL,56114
"Population, total",SP.POP.TOTL,Grenada,GRD,106825
"Population, total",SP.POP.TOTL,Guam,GUM,169885
"Population, total",SP.POP.TOTL,Guatemala,GTM,16342897
"Population, total",SP.POP.TOTL,Guinea,GIN,12608590
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1844325
"Population, total",SP.POP.TOTL,Guyana,GUY,767085
"Population, total",SP.POP.TOTL,Haiti,HTI,10711067
"Population, total",SP.POP.TOTL,Honduras,HND,8075060
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7305700
"Population, total",SP.POP.TOTL,Hungary,HUN,9844686
"Population, total",SP.POP.TOTL,Iceland,ISL,330823
"Population, total",SP.POP.TOTL,India,IND,1311050527
"Population, total",SP.POP.TOTL,Indonesia,IDN,257563815
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,79109272
"Population, total",SP.POP.TOTL,Iraq,IRQ,36423395
"Population, total",SP.POP.TOTL,Ireland,IRL,4640703
"Population, total",SP.POP.TOTL,Isle of Man,IMY,87780
"Population, total",SP.POP.TOTL,Israel,ISR,8380400
"Population, total",SP.POP.TOTL,Italy,ITA,60802085
"Population, total",SP.POP.TOTL,Jamaica,JAM,2725941
"Population, total",SP.POP.TOTL,Japan,JPN,126958472
"Population, total",SP.POP.TOTL,Jordan,JOR,7594547
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17544126
"Population, total",SP.POP.TOTL,Kenya,KEN,46050302
"Population, total",SP.POP.TOTL,Kiribati,KIR,112423
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25155317
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,50617045
"Population, total",SP.POP.TOTL,Kosovo,KSV,1797151
"Population, total",SP.POP.TOTL,Kuwait,KWT,3892115
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5957000
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6802023
"Population, total",SP.POP.TOTL,Latvia,LVA,1978440
"Population, total",SP.POP.TOTL,Lebanon,LBN,5850743
"Population, total",SP.POP.TOTL,Lesotho,LSO,2135022
"Population, total",SP.POP.TOTL,Liberia,LBR,4503438
"Population, total",SP.POP.TOTL,Libya,LBY,6278438
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37531
"Population, total",SP.POP.TOTL,Lithuania,LTU,2910199
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569676
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,587606
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,2078453
"Population, total",SP.POP.TOTL,Madagascar,MDG,24235390
"Population, total",SP.POP.TOTL,Malawi,MWI,17215232
"Population, total",SP.POP.TOTL,Malaysia,MYS,30331007
"Population, total",SP.POP.TOTL,Maldives,MDV,409163
"Population, total",SP.POP.TOTL,Mali,MLI,17599694
"Population, total",SP.POP.TOTL,Malta,MLT,431333
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,52993
"Population, total",SP.POP.TOTL,Mauritania,MRT,4067564
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262605
"Population, total",SP.POP.TOTL,Mexico,MEX,127017224
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,104460
"Population, total",SP.POP.TOTL,Moldova,MDA,3554150
"Population, total",SP.POP.TOTL,Monaco,MCO,37731
"Population, total",SP.POP.TOTL,Mongolia,MNG,2959134
"Population, total",SP.POP.TOTL,Montenegro,MNE,622388
"Population, total",SP.POP.TOTL,Morocco,MAR,34377511
"Population, total",SP.POP.TOTL,Mozambique,MOZ,27977863
"Population, total",SP.POP.TOTL,Myanmar,MMR,53897154
"Population, total",SP.POP.TOTL,Namibia,NAM,2458830
"Population, total",SP.POP.TOTL,Nauru,NRU,10222
"Population, total",SP.POP.TOTL,Nepal,NPL,28513700
"Population, total",SP.POP.TOTL,Netherlands,NLD,16936520
"Population, total",SP.POP.TOTL,New Caledonia,NCL,273000
"Population, total",SP.POP.TOTL,New Zealand,NZL,4595700
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6082032
"Population, total",SP.POP.TOTL,Niger,NER,19899120
"Population, total",SP.POP.TOTL,Nigeria,NGA,182201962
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,55070
"Population, total",SP.POP.TOTL,Norway,NOR,5195921
"Population, total",SP.POP.TOTL,Oman,OMN,4490541
"Population, total",SP.POP.TOTL,Pakistan,PAK,188924874
"Population, total",SP.POP.TOTL,Palau,PLW,21291
"Population, total",SP.POP.TOTL,Panama,PAN,3929141
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7619321
"Population, total",SP.POP.TOTL,Paraguay,PRY,6639123
"Population, total",SP.POP.TOTL,Peru,PER,31376670
"Population, total",SP.POP.TOTL,Philippines,PHL,100699395
"Population, total",SP.POP.TOTL,Poland,POL,37999494
"Population, total",SP.POP.TOTL,Portugal,PRT,10348648
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3474182
"Population, total",SP.POP.TOTL,Qatar,QAT,2235355
"Population, total",SP.POP.TOTL,Romania,ROU,19832389
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144096812
"Population, total",SP.POP.TOTL,Rwanda,RWA,11609666
"Population, total",SP.POP.TOTL,Samoa,WSM,193228
"Population, total",SP.POP.TOTL,San Marino,SMR,31781
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,190344
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,31540372
"Population, total",SP.POP.TOTL,Senegal,SEN,15129273
"Population, total",SP.POP.TOTL,Serbia,SRB,7098247
"Population, total",SP.POP.TOTL,Seychelles,SYC,92900
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6453184
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,38817
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5424050
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063768
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,583591
"Population, total",SP.POP.TOTL,Somalia,SOM,10787104
"Population, total",SP.POP.TOTL,South Africa,ZAF,54956920
"Population, total",SP.POP.TOTL,South Sudan,SSD,12339812
"Population, total",SP.POP.TOTL,Spain,ESP,46418269
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20966000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,55572
"Population, total",SP.POP.TOTL,St. Lucia,LCA,184999
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,31754
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,109462
"Population, total",SP.POP.TOTL,Sudan,SDN,40234882
"Population, total",SP.POP.TOTL,Suriname,SUR,542975
